frame	RelOb	DetObj	TrueDet	FalseDet	NotDet
640	1	5	0	5	1
641	1	4	0	4	1
642	1	6	1	5	0
643	1	7	2	5	0
644	1	9	2	7	0
645	1	10	2	8	0
646	1	6	1	5	0
647	1	4	0	4	1
648	1	5	0	5	1
649	1	4	2	2	0
650	1	5	1	4	0
651	1	4	2	2	0
652	1	6	0	6	1
653	1	7	0	7	1
654	1	7	1	6	0
655	1	6	2	4	0
656	1	6	0	6	1
657	1	8	2	6	0
658	1	8	2	6	0
659	1	6	1	5	0
660	1	6	1	5	0
661	1	6	2	4	0
662	1	6	2	4	0
663	1	6	0	6	1
664	1	6	1	5	0
665	1	4	2	2	0
666	1	6	0	6	1
667	1	8	4	4	0
668	1	8	7	1	0
669	1	10	2	8	0
670	1	7	0	7	1
671	1	6	2	4	0
672	1	8	1	7	0
673	1	8	2	6	0
674	1	5	1	4	0
675	1	7	1	6	0
676	1	8	1	7	0
677	1	7	1	6	0
678	1	5	0	5	1
679	1	3	3	0	0
680	1	5	1	4	0
681	1	7	0	7	1
682	1	8	2	6	0
683	1	11	1	10	0
684	1	7	1	6	0
685	1	5	1	4	0
686	1	9	2	7	0
687	1	8	0	8	1
688	1	8	0	8	1
689	1	11	1	10	0
690	1	7	1	6	0
691	1	4	0	4	1
692	1	6	2	4	0
693	1	8	3	5	0
694	1	7	2	5	0
695	1	6	1	5	0
696	1	8	2	6	0
697	1	8	2	6	0
698	1	8	2	6	0
699	1	7	2	5	0
700	1	10	5	5	0
701	1	8	0	8	1
702	1	7	0	7	1
703	1	8	3	5	0
704	1	8	3	5	0
705	1	8	2	6	0
706	1	6	0	6	1
707	1	6	1	5	0
708	1	4	0	4	1
709	1	4	1	3	0
710	1	5	1	4	0
711	1	9	2	7	0
712	1	6	4	2	0
713	1	7	2	5	0
714	1	10	2	8	0
715	1	7	1	6	0
716	1	9	1	8	0
717	1	11	2	9	0
718	1	8	3	5	0
719	1	4	2	2	0
720	1	6	2	4	0
721	1	6	3	3	0
722	1	4	1	3	0
723	1	6	0	6	1
724	1	6	2	4	0
725	1	7	1	6	0
726	1	7	1	6	0
727	1	6	0	6	1
728	1	8	1	7	0
729	1	7	1	6	0
730	1	3	2	1	0
731	1	6	0	6	1
732	1	7	1	6	0
733	1	8	1	7	0
734	1	9	1	8	0
735	1	4	0	4	1
736	1	4	0	4	1
737	1	5	1	4	0
738	1	10	4	6	0
739	1	11	3	8	0
740	1	11	1	10	0
741	1	12	1	11	0
742	1	8	1	7	0
743	1	5	0	5	1
744	1	4	0	4	1
745	1	6	2	4	0
746	1	6	2	4	0
747	1	5	0	5	1
748	1	4	1	3	0
749	1	5	1	4	0
750	1	6	1	5	0
751	1	6	0	6	1
752	1	7	1	6	0
753	1	8	4	4	0
754	1	9	4	5	0
755	1	10	2	8	0
756	1	10	2	8	0
757	1	7	2	5	0
758	1	4	2	2	0
759	1	4	0	4	1
760	1	10	1	9	0
761	1	12	1	11	0
762	1	8	0	8	1
763	1	4	0	4	1
764	1	3	0	3	1
765	1	8	0	8	1
766	1	11	1	10	0
767	1	7	1	6	0
768	1	5	2	3	0
769	1	6	3	3	0
770	1	5	1	4	0
771	1	9	0	9	1
772	1	9	1	8	0
773	1	6	0	6	1
774	1	5	1	4	0
775	1	10	1	9	0
776	1	10	0	10	1
777	1	4	1	3	0
778	1	9	2	7	0
779	1	8	0	8	1
780	1	6	2	4	0
781	1	6	1	5	0
782	1	5	0	5	1
783	1	5	1	4	0
784	1	6	1	5	0
785	1	4	0	4	1
786	1	5	1	4	0
787	1	7	0	7	1
788	1	7	0	7	1
789	1	10	1	9	0
790	1	7	1	6	0
791	1	7	1	6	0
792	1	8	2	6	0
793	1	8	1	7	0
794	1	5	1	4	0
795	1	4	0	4	1
796	1	8	3	5	0
797	1	10	3	7	0
798	1	7	2	5	0
799	1	4	0	4	1
800	1	7	1	6	0
801	1	12	2	10	0
802	1	11	0	11	1
803	1	6	1	5	0
804	1	4	1	3	0
805	1	6	0	6	1
806	1	9	0	9	1
807	1	9	0	9	1
808	1	11	1	10	0
809	1	10	2	8	0
810	1	8	3	5	0
811	1	6	1	5	0
812	1	6	2	4	0
813	1	9	2	7	0
814	1	10	1	9	0
815	1	6	0	6	1
816	1	5	3	2	0
817	1	5	0	5	1
818	1	4	1	3	0
819	1	7	0	7	1
820	1	8	2	6	0
821	1	5	1	4	0
822	1	7	3	4	0
823	1	9	3	6	0
824	1	8	2	6	0
825	1	4	0	4	1
826	1	3	0	3	1
827	1	4	1	3	0
828	1	5	1	4	0
829	1	9	0	9	1
830	1	12	0	12	1
831	1	9	1	8	0
832	1	7	1	6	0
833	1	8	1	7	0
834	1	4	1	3	0
835	1	6	2	4	0
836	1	9	1	8	0
837	1	7	0	7	1
838	1	4	0	4	1
839	1	6	0	6	1
840	1	5	0	5	1
841	1	4	0	4	1
842	1	6	0	6	1
843	1	10	1	9	0
844	1	10	1	9	0
845	1	7	4	3	0
846	1	7	2	5	0
847	1	5	1	4	0
848	1	8	1	7	0
849	1	9	0	9	1
850	1	11	2	9	0
851	1	14	1	13	0
852	1	12	0	12	1
853	1	10	1	9	0
854	1	10	1	9	0
855	1	6	1	5	0
856	1	8	1	7	0
857	1	10	1	9	0
858	1	10	0	10	1
859	1	7	0	7	1
860	1	7	0	7	1
861	1	8	0	8	1
862	1	7	0	7	1
863	1	6	1	5	0
864	1	7	1	6	0
865	1	9	1	8	0
866	1	8	0	8	1
867	1	8	0	8	1
868	1	5	0	5	1
869	1	5	0	5	1
870	1	6	1	5	0
871	1	6	1	5	0
872	1	9	0	9	1
873	1	8	0	8	1
874	1	8	2	6	0
875	1	9	1	8	0
876	1	5	1	4	0
877	1	5	3	2	0
878	1	7	4	3	0
879	1	7	4	3	0
880	1	6	2	4	0
881	1	7	0	7	1
882	1	5	1	4	0
883	1	3	3	0	0
884	1	3	0	3	1
885	1	4	1	3	0
886	1	5	1	4	0
887	1	4	1	3	0
888	1	6	0	6	1
889	1	7	0	7	1
890	1	8	1	7	0
891	1	6	0	6	1
892	1	6	1	5	0
893	1	7	0	7	1
894	1	6	1	5	0
895	1	7	1	6	0
896	1	6	1	5	0
897	1	8	0	8	1
898	1	10	0	10	1
899	1	8	0	8	1
900	1	8	2	6	0
901	1	6	2	4	0
902	1	9	4	5	0
903	1	11	3	8	0
904	1	10	2	8	0
905	1	7	0	7	1
906	1	8	1	7	0
907	1	9	1	8	0
908	1	7	2	5	0
909	1	7	2	5	0
910	1	5	1	4	0
911	1	6	2	4	0
912	1	9	1	8	0
913	1	11	0	11	1
914	1	8	2	6	0
915	1	6	1	5	0
916	1	8	0	8	1
917	1	7	1	6	0
918	1	3	1	2	0
919	1	2	0	2	1
920	1	6	2	4	0
921	1	9	2	7	0
922	1	8	1	7	0
923	1	7	2	5	0
924	1	11	0	11	1
925	1	11	0	11	1
926	1	8	0	8	1
927	1	9	0	9	1
928	1	7	0	7	1
929	1	5	1	4	0
930	1	8	0	8	1
931	1	9	0	9	1
932	1	8	1	7	0
933	1	8	2	6	0
934	1	7	1	6	0
935	1	6	1	5	0
936	1	6	0	6	1
937	1	9	0	9	1
938	1	9	1	8	0
939	1	10	1	9	0
940	1	10	1	9	0
941	1	8	0	8	1
942	1	7	1	6	0
943	1	7	1	6	0
944	1	4	2	2	0
945	1	4	1	3	0
946	1	5	1	4	0
947	1	6	0	6	1
948	1	8	2	6	0
949	1	6	1	5	0
950	1	8	2	6	0
951	1	12	2	10	0
952	1	10	0	10	1
953	1	8	2	6	0
954	1	11	1	10	0
955	1	8	1	7	0
956	1	2	1	1	0
957	1	5	0	5	1
958	1	7	0	7	1
959	1	7	1	6	0
960	1	7	2	5	0
961	1	8	1	7	0
962	1	11	1	10	0
963	1	11	0	11	1
964	1	6	1	5	0
965	1	7	0	7	1
966	1	8	1	7	0
967	1	9	2	7	0
968	1	9	1	8	0
969	1	5	0	5	1
970	1	9	3	6	0
971	1	8	0	8	1
972	1	4	1	3	0
973	1	3	1	2	0
974	1	5	1	4	0
975	1	7	1	6	0
976	1	9	1	8	0
977	1	7	1	6	0
978	1	7	4	3	0
979	1	7	5	2	0
980	1	7	1	6	0
981	1	5	1	4	0
982	1	7	1	6	0
983	1	7	1	6	0
984	1	7	0	7	1
985	1	9	1	8	0
986	1	8	1	7	0
987	1	3	1	2	0
988	1	4	1	3	0
989	1	7	1	6	0
990	1	6	1	5	0
991	1	6	2	4	0
992	1	5	1	4	0
993	1	5	1	4	0
994	1	5	1	4	0
995	1	2	0	2	1
996	1	7	2	5	0
997	1	10	1	9	0
998	1	6	1	5	0
999	1	3	0	3	1
1000	1	4	2	2	0
1001	1	10	0	10	1
1002	1	11	0	11	1
1003	1	5	1	4	0
1004	1	5	1	4	0
1005	1	5	0	5	1
1006	1	5	0	5	1
1007	1	6	0	6	1
1008	1	10	1	9	0
1009	1	10	2	8	0
1010	1	5	4	1	0
1011	1	4	2	2	0
1012	1	8	2	6	0
1013	1	9	4	5	0
1014	1	8	1	7	0
1015	1	10	1	9	0
1016	1	10	2	8	0
1017	1	9	2	7	0
1018	1	9	0	9	1
1019	1	6	1	5	0
1020	1	9	1	8	0
1021	1	10	1	9	0
1022	1	6	1	5	0
1023	1	7	1	6	0
1024	1	10	1	9	0
1025	1	10	1	9	0
1026	1	7	1	6	0
1027	1	6	0	6	1
1028	1	6	1	5	0
1029	1	8	0	8	1
1030	1	8	0	8	1
1031	1	4	0	4	1
1032	1	3	1	2	0
1033	1	5	2	3	0
1034	1	6	2	4	0
1035	1	7	0	7	1
1036	1	10	1	9	0
1037	1	7	1	6	0
1038	1	3	0	3	1
1039	1	7	2	5	0
1040	1	6	2	4	0
1041	1	3	1	2	0
1042	1	4	1	3	0
1043	1	5	0	5	1
1044	1	3	1	2	0
1045	1	7	3	4	0
1046	1	9	3	6	0
1047	1	6	1	5	0
1048	1	5	1	4	0
1049	1	7	0	7	1
1050	1	13	0	13	1
1051	1	11	0	11	1
1052	1	5	0	5	1
1053	1	5	4	1	0
1054	1	8	0	8	1
1055	1	6	0	6	1
1056	1	6	0	6	1
1057	1	7	0	7	1
1058	1	6	1	5	0
1059	1	7	1	6	0
1060	1	9	2	7	0
1061	1	9	2	7	0
1062	1	9	1	8	0
1063	1	7	2	5	0
1064	1	6	2	4	0
1065	1	7	2	5	0
1066	1	6	0	6	1
1067	1	9	0	9	1
1068	1	8	0	8	1
1069	1	7	0	7	1
1070	1	4	0	4	1
1071	1	4	0	4	1
1072	1	5	0	5	1
1073	1	5	3	2	0
1074	1	7	1	6	0
1075	1	11	0	11	1
1076	1	12	1	11	0
1077	1	9	1	8	0
1078	1	6	1	5	0
1079	1	5	0	5	1
1080	1	6	0	6	1
1081	1	9	0	9	1
1082	1	12	3	9	0
1083	1	9	2	7	0
1084	1	7	3	4	0
1085	1	6	0	6	1
1086	1	8	0	8	1
1087	1	7	1	6	0
1088	1	8	2	6	0
1089	1	5	0	5	1
1090	1	6	1	5	0
1091	1	6	0	6	1
1092	1	5	1	4	0
1093	1	6	2	4	0
1094	1	7	0	7	1
1095	1	6	0	6	1
1096	1	7	1	6	0
1097	1	5	1	4	0
1098	1	5	0	5	1
1099	1	8	0	8	1
1100	1	10	1	9	0
1101	1	9	0	9	1
1102	1	5	3	2	0
1103	1	4	1	3	0
1104	1	5	0	5	1
1105	1	6	0	6	1
1106	1	4	0	4	1
1107	1	4	0	4	1
1108	1	9	2	7	0
1109	1	9	1	8	0
1110	1	4	1	3	0
1111	1	6	0	6	1
1112	1	6	3	3	0
1113	1	8	4	4	0
1114	1	8	2	6	0
1115	1	4	0	4	1
1116	1	4	0	4	1
1117	1	8	2	6	0
1118	1	12	0	12	1
1119	1	9	0	9	1
1120	1	2	1	1	0
1121	1	6	1	5	0
1122	1	7	2	5	0
