frame	RelOb	DetObj	TrueDet	FalseDet	NotDet
761	1	12	0	12	1
762	1	11	0	11	1
763	1	12	0	12	1
764	1	9	0	9	1
765	1	15	1	14	0
766	1	13	0	13	1
767	1	8	1	7	0
768	1	10	0	10	1
769	1	11	1	10	0
770	1	11	0	11	1
771	1	10	0	10	1
772	1	13	1	12	0
773	1	12	0	12	1
774	1	10	0	10	1
775	1	12	1	11	0
776	1	11	0	11	1
777	1	10	0	10	1
778	1	12	0	12	1
779	1	12	1	11	0
780	1	13	0	13	1
781	1	14	1	13	0
782	1	12	0	12	1
783	1	13	1	12	0
784	1	13	0	13	1
785	1	7	0	7	1
786	1	10	0	10	1
787	1	10	0	10	1
788	1	12	0	12	1
789	1	16	1	15	0
790	1	10	1	9	0
791	1	10	1	9	0
792	1	10	0	10	1
793	1	12	0	12	1
794	1	14	0	14	1
795	1	13	0	13	1
796	1	15	1	14	0
797	1	11	1	10	0
798	1	11	1	10	0
799	1	8	0	8	1
800	1	10	0	10	1
801	1	9	1	8	0
802	1	8	0	8	1
803	1	17	0	17	1
804	1	15	1	14	0
805	1	14	0	14	1
806	1	11	1	10	0
807	1	12	0	12	1
808	1	13	1	12	0
809	1	14	1	13	0
810	1	14	0	14	1
811	1	8	0	8	1
812	1	10	0	10	1
813	1	13	1	12	0
814	1	14	0	14	1
815	1	9	0	9	1
816	1	12	0	12	1
817	1	11	1	10	0
818	1	12	1	11	0
819	1	12	0	12	1
820	1	12	1	11	0
821	1	11	0	11	1
822	1	10	1	9	0
823	1	9	0	9	1
824	1	10	0	10	1
825	1	13	1	12	0
826	1	12	0	12	1
827	1	12	0	12	1
828	1	10	0	10	1
829	1	15	1	14	0
830	1	12	0	12	1
831	1	16	0	16	1
832	1	12	0	12	1
833	1	9	0	9	1
834	1	9	0	9	1
835	1	14	0	14	1
836	1	13	0	13	1
837	1	13	0	13	1
838	1	12	1	11	0
839	1	10	0	10	1
840	1	12	0	12	1
841	1	10	0	10	1
842	1	11	1	10	0
843	1	13	0	13	1
844	1	8	1	7	0
845	1	8	0	8	1
846	1	10	1	9	0
847	1	13	0	13	1
848	1	15	0	15	1
849	1	11	1	10	0
850	1	12	1	11	0
851	1	14	0	14	1
852	1	11	0	11	1
853	1	17	0	17	1
854	1	14	0	14	1
855	1	9	0	9	1
856	1	12	0	12	1
857	1	8	0	8	1
858	1	10	0	10	1
859	1	9	0	9	1
860	1	12	0	12	1
861	1	14	1	13	0
862	1	13	0	13	1
863	1	13	1	12	0
864	1	12	1	11	0
865	1	11	0	11	1
866	1	11	0	11	1
867	1	13	1	12	0
868	1	12	0	12	1
869	1	15	0	15	1
870	1	11	1	10	0
871	1	13	0	13	1
872	1	14	0	14	1
873	1	15	0	15	1
874	1	9	0	9	1
875	1	11	0	11	1
876	1	14	0	14	1
877	1	11	0	11	1
878	1	13	1	12	0
879	1	9	0	9	1
880	1	12	1	11	0
881	1	12	0	12	1
882	1	15	1	14	0
883	1	8	0	8	1
884	1	7	0	7	1
885	1	10	0	10	1
886	1	9	0	9	1
887	1	9	0	9	1
888	1	12	1	11	0
889	1	9	1	8	0
890	1	10	0	10	1
891	1	17	0	17	1
892	1	15	0	15	1
893	1	10	0	10	1
894	1	17	0	17	1
895	1	16	0	16	1
896	1	9	0	9	1
897	1	9	0	9	1
898	1	8	0	8	1
899	1	15	0	15	1
900	1	10	1	9	0
901	1	12	0	12	1
902	1	11	0	11	1
903	1	8	0	8	1
904	1	13	0	13	1
905	1	15	0	15	1
906	1	12	0	12	1
907	1	10	0	10	1
908	1	9	1	8	0
909	1	15	0	15	1
910	1	11	0	11	1
911	1	9	0	9	1
912	1	12	0	12	1
913	1	13	0	13	1
914	1	14	0	14	1
915	1	12	0	12	1
916	1	16	1	15	0
917	1	12	0	12	1
918	1	12	0	12	1
919	1	11	1	10	0
920	1	12	0	12	1
921	1	14	0	14	1
922	1	15	1	14	0
923	1	14	1	13	0
924	1	10	1	9	0
925	1	7	1	6	0
926	1	14	1	13	0
927	1	8	0	8	1
928	1	15	1	14	0
929	1	13	0	13	1
